==24865== NVPROF is profiling process 24865, command: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
17.6116s  64.800us                    -               -         -         -         -  805.01KB  11.847GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.6118s  9.2160us           (3221 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [12878]
17.6121s  620.77us           (3221 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [12880]
17.6167s  7.9040us                    -               -         -         -         -  805.01KB  97.130GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.6167s  64.416us                    -               -         -         -         -  805.01KB  11.918GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.6170s  64.833us                    -               -         -         -         -  805.01KB  11.841GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.6238s  2.1440us                    -               -         -         -         -  202.51KB  90.078GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.6238s  17.568us                    -               -         -         -         -  202.51KB  10.993GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.6277s  2.1440us                    -               -         -         -         -  202.51KB  90.078GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.6277s  17.536us                    -               -         -         -         -  202.51KB  11.013GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.6278s  18.176us                    -               -         -         -         -  202.51KB  10.625GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.6286s  2.9120us            (811 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [13090]
17.6751s  26.240us                    -               -         -         -         -  300.00KB  10.903GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.6753s  14.112us                    -               -         -         -         -  150.00KB  10.137GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.6756s  2.8800us                    -               -         -         -         -  405.02KB  134.12GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.6756s  33.376us                    -               -         -         -         -  405.02KB  11.573GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.6757s  2.5280us                    -               -         -         -         -  405.02KB  152.79GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.6758s  33.280us                    -               -         -         -         -  405.02KB  11.606GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.6759s  33.600us                    -               -         -         -         -  405.02KB  11.496GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.6761s  2.1440us                    -               -         -         -         -  102.52KB  45.600GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.6761s  9.7920us                    -               -         -         -         -  102.52KB  9.9843GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.6763s  2.1760us                    -               -         -         -         -  102.52KB  44.929GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
17.6763s  9.7280us                    -               -         -         -         -  102.52KB  10.050GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.6764s  10.465us                    -               -         -         -         -  102.52KB  9.3422GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
17.6772s  24.321us            (400 1 1)        (32 1 1)        42        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [13378]
