==20402== NVPROF is profiling process 20402, command: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 9 1 1
==20402== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 9 1 1
==20402== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
41.8627s  8.1600us                    -               -         -         -         -  73.508KB  8.5910GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8637s  2.1120us                    -               -         -         -         -  18.758KB  8.4701GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8637s  3.2320us                    -               -         -         -         -  18.758KB  5.5349GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8670s  2.1120us                    -               -         -         -         -  18.758KB  8.4701GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8670s  3.2320us                    -               -         -         -         -  18.758KB  5.5349GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8671s  1.4720us                    -               -         -         -         -  18.758KB  12.153GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8678s  1.0240us             (76 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [18957]
41.8785s  2.4320us                    -               -         -         -         -  20.000KB  7.8427GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8785s  1.2160us                    -               -         -         -         -  6.0000KB  4.7056GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8787s  2.1440us                    -               -         -         -         -  37.516KB  16.687GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8787s  4.6720us                    -               -         -         -         -  37.516KB  7.6579GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8788s  2.1120us                    -               -         -         -         -  37.516KB  16.940GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8788s  4.7040us                    -               -         -         -         -  37.516KB  7.6058GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8789s  5.4080us                    -               -         -         -         -  37.516KB  6.6157GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8790s  2.1120us                    -               -         -         -         -  4.5156KB  2.0390GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8790s  2.0160us                    -               -         -         -         -  4.5156KB  2.1361GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8792s  2.1440us                    -               -         -         -         -  4.5156KB  2.0086GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8792s  1.6960us                    -               -         -         -         -  4.5156KB  2.5392GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
41.8792s  1.1840us                    -               -         -         -         -  4.5156KB  3.6372GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8799s  2.9760us             (16 1 1)        (32 1 1)        70        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [19245]
41.8802s  31.904us                    -               -         -         -         -  375.16KB  11.214GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8804s  11.232us                    -               -         -         -         -  112.55KB  9.5560GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
41.8812s  44.192us             (76 1 1)        (32 1 1)       128        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_loopy_kernel_inject [19251]
41.8843s  1.9840us                    -               -         -         -         -  18.758KB  9.0166GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
41.8843s  3.2320us                    -               -         -         -         -  18.758KB  5.5349GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
